VariantCallingControls	H_HF-CHM1htert-US-5A	
VariantCallingControls	H_IJ-HG00403-HG00403	
VariantCallingControls	H_IJ-HG00404-HG00404	
VariantCallingControls	H_IJ-HG00405-HG00405	
VariantCallingControls	H_IJ-HG00451-HG00451	
VariantCallingControls	H_IJ-HG00452-HG00452	
VariantCallingControls	H_IJ-HG00453-HG00453	
VariantCallingControls	H_IJ-HG00512-HG00512_1	
VariantCallingControls	H_IJ-HG00513-HG00513_1	
VariantCallingControls	H_IJ-HG00514-HG00514_1	
VariantCallingControls	H_IJ-HG00731-HG00731_2	
VariantCallingControls	H_IJ-HG00732-HG00732_1	
VariantCallingControls	H_IJ-HG00733-HG00733_2	
VariantCallingControls	H_IJ-HG00736-HG00736	
VariantCallingControls	H_IJ-HG00737-HG00737	
VariantCallingControls	H_IJ-HG00738-HG00738	
VariantCallingControls	H_IJ-HG01136-HG01136	
VariantCallingControls	H_IJ-HG01137-HG01137	
VariantCallingControls	H_IJ-HG01138-HG01138	
VariantCallingControls	H_IJ-HG01350-HG01350_1	
VariantCallingControls	H_IJ-HG01351-HG01351_1	
VariantCallingControls	H_IJ-HG01352-HG01352_1	
VariantCallingControls	H_IJ-HG01776-HG01776	
VariantCallingControls	H_IJ-HG01777-HG01777	
VariantCallingControls	H_IJ-HG01778-HG01778	
VariantCallingControls	H_IJ-HG01889-HG01889	
VariantCallingControls	H_IJ-HG01890-HG01890	
VariantCallingControls	H_IJ-HG01891-HG01891	
VariantCallingControls	H_IJ-HG01917-HG01917	
VariantCallingControls	H_IJ-HG01918-HG01918	
VariantCallingControls	H_IJ-HG01919-HG01919	
VariantCallingControls	H_IJ-HG02059-HG02059_1	
VariantCallingControls	H_IJ-HG02060-HG02060_1	
VariantCallingControls	H_IJ-HG02061-HG02061_1	
VariantCallingControls	H_IJ-HG02068-HG02068	
VariantCallingControls	H_IJ-HG02069-1	
VariantCallingControls	H_IJ-HG02070-1	
VariantCallingControls	H_IJ-HG02232-HG02232	
VariantCallingControls	H_IJ-HG02233-HG02233	
VariantCallingControls	H_IJ-HG02234-HG02234	
VariantCallingControls	H_IJ-HG02259-HG02259	
VariantCallingControls	H_IJ-HG02260-HG02260	
VariantCallingControls	H_IJ-HG02261-HG02261	
VariantCallingControls	H_IJ-HG02449-1	
VariantCallingControls	H_IJ-HG02450-1	
VariantCallingControls	H_IJ-HG02451-HG02451	
VariantCallingControls	H_IJ-HG02657-HG02657	
VariantCallingControls	H_IJ-HG02658-HG02658	
VariantCallingControls	H_IJ-HG02659-HG02659	
VariantCallingControls	H_IJ-HG02816-HG02816_1	
VariantCallingControls	H_IJ-HG02817-HG02817_1	
VariantCallingControls	H_IJ-HG02818-HG02818_1	
VariantCallingControls	H_IJ-HG03240-HG03240	
VariantCallingControls	H_IJ-HG03241-HG03241	
VariantCallingControls	H_IJ-HG03242-HG03242	
VariantCallingControls	H_IJ-HG03300-HG03300	
VariantCallingControls	H_IJ-HG03301-HG03301	
VariantCallingControls	H_IJ-HG03302-HG03302	
VariantCallingControls	H_IJ-HG03451-HG03451	
VariantCallingControls	H_IJ-HG03452-HG03452	
VariantCallingControls	H_IJ-HG03453-HG03453	
VariantCallingControls	H_IJ-HG03484-HG03484	
VariantCallingControls	H_IJ-HG03485-HG03485	
VariantCallingControls	H_IJ-HG03486-HG03486	
VariantCallingControls	H_IJ-HG03517-1	
VariantCallingControls	H_IJ-HG03518-1	
VariantCallingControls	H_IJ-HG03519-HG03519	
VariantCallingControls	H_IJ-HG03624-1	
VariantCallingControls	H_IJ-HG03625-1	
VariantCallingControls	H_IJ-HG03626-HG03626	
VariantCallingControls	H_IJ-HG03688-HG03688	
VariantCallingControls	H_IJ-HG03719-HG03719	
VariantCallingControls	H_IJ-HG03722-HG03722	
VariantCallingControls	H_IJ-HG03725-HG03725	
VariantCallingControls	H_IJ-HG03814-HG03814	
VariantCallingControls	H_IJ-HG03815-HG03815	
VariantCallingControls	H_IJ-HG03816-HG03816	
VariantCallingControls	H_IJ-HG03823-HG03823	
